file,length_a,length_b,runtime_ms
test1.in,25,25,139.0313000883907
test2.in,35,35,93.31510006450117
test3.in,55,55,88.48299994133413
test4.in,75,75,89.72829999402165
test5.in,95,95,91.25680010765791
test6.in,120,120,90.37929982878268
test7.in,145,145,88.15519977360964
test8.in,170,170,93.25430006720126
test9.in,200,200,119.66009996831417
test10.in,230,230,105.54930008947849
